10000 VSyncFunc
39A24 shoot_right_gun
39A34 shoot_left_gun
39A44 SetFog
39A58 invisibility_on
39A6C invisibility_off
39A84 reset_hair
39AA4 ClearSpidersPatch
39AD8 TL_1
39B24 TL_2
39B74 TL_3
39BC4 TL_4
39C14 TL_5
39C64 TL_6
39CB4 TL_7
39D04 TL_8
39D54 TL_9
39DA4 TL_10
39DF0 TL_11
39E3C TL_12
39E88 TriggerTorchFlame
3A068 FireCollision
3A3CC DoFlameTorch
3A830 GetFlameTorch
3A8F4 FlameTorchControl
3AC70 InitialiseHair
3AD2C FlashIt
3AD68 DrawGameInfo
3B0C8 DrawHealthBar
3B3CC DrawAirBar
3B580 InitialisePickUpDisplay
3B5B8 DrawPickups
3B6F4 AddDisplayPickup
3B7A8 S_CallInventory2
3C024 init_new_inventry
3C224 do_debounced_joystick_poo
3C43C DrawThreeDeeObject2D
3C6A0 DrawInventoryItemMe
3C900 go_and_load_game
3C920 go_and_save_game
3C940 construct_combine_object_list
3CB90 insert_object_into_list_v2
3CC80 construct_object_list
3D2C4 insert_object_into_list
3D350 draw_current_object_list
3DF18 handle_object_changeover
3DF44 handle_inventry_menu
3E9F8 setup_ammo_selector
3ED08 fade_ammo_selector
3EDDC draw_ammo_selector
3F094 spinback
3F13C update_laras_weapons_status
3F200 is_item_currently_combinable
3F29C have_i_got_item
3F2DC do_these_objects_combine
3F348 combine_these_two_objects
3F424 seperate_object
3F4C0 combine_HK_SILENCER
3F500 combine_revolver_lasersight
3F590 combine_crossbow_lasersight
3F620 combine_PuzzleItem1
3F640 combine_PuzzleItem2
3F660 combine_PuzzleItem3
3F680 combine_PuzzleItem4
3F6A0 combine_PuzzleItem5
3F6C0 combine_PuzzleItem6
3F6E0 combine_PuzzleItem7
3F700 combine_PuzzleItem8
3F720 combine_KeyItem1
3F744 combine_KeyItem2
3F768 combine_KeyItem3
3F78C combine_KeyItem4
3F7B0 combine_KeyItem5
3F7D4 combine_KeyItem6
3F7F8 combine_KeyItem7
3F81C combine_KeyItem8
3F840 combine_PickupItem1
3F864 combine_PickupItem2
3F888 combine_PickupItem3
3F8AC combine_PickupItem4
3F8D0 combine_clothbottle
3F8F0 setup_objectlist_startposition
3F938 setup_objectlist_startposition2
3F9A0 use_current_item
3FEB0 DEL_picked_up_object
40584 NailInvItem
4086C have_i_got_object
4097C remove_inventory_item
40AC4 convert_obj_to_invobj
40B08 convert_invobj_to_obj
40B2C init_keypad_mode
40B54 do_keypad_mode
411C4 do_examine_mode
412BC do_stats_mode
41324 dels_give_lara_items_cheat
41470 dels_give_lara_guns_cheat
41608 S_DrawPickup
416E0 do_playstation_button_prompts_v1
418E8 InitialiseItemArray
41950 KillItem
41BAC CreateItem
41BEC InitialiseItem
41E98 RemoveActiveItem
41F48 RemoveDrawnItem
41FEC AddActiveItem
4207C InitialiseFXArray
420E0 CreateEffect
42178 KillEffect
42320 EffectNewRoom
42444 draw_shotgun_meshes
42498 undraw_shotgun_meshes
424E0 ready_shotgun
42558 RifleHandler
429F0 FireShotgun
42CA8 FireHK
42E18 FireCrossbow
42F7C CrossbowHitSwitchType78
4323C ControlCrossbow
43480 draw_shotgun
436B0 undraw_shotgun
43810 AnimateShotgun
43FB0 DoGrenadeDamageOnBaddie
44138 TriggerGrapplingEffect
44308 set_arm_info
443B4 draw_pistols
444A4 undraw_pistols
44804 ready_pistols
4487C draw_pistol_meshes
448F0 undraw_pistol_mesh_left
44968 undraw_pistol_mesh_right
449E4 PistolHandler
44D78 AnimatePistols
45434 LaraCheckForLetGo
45530 LaraTestClimbUpPos
457F0 LaraTestClimb
45ABC LaraClimbLeftCornerTest
45DE4 LaraClimbRightCornerTest
46100 LaraDoClimbLeftRight
462F8 LaraTestClimbPos
463F0 lara_as_climbstnc
464E8 lara_col_climbstnc
467E4 lara_as_climbleft
46834 lara_col_climbleft
468B8 lara_as_climbright
46908 lara_col_climbright
46984 lara_as_climbing
469B0 lara_col_climbing
46BA4 lara_as_climbdown
46BD0 lara_col_climbdown
46DF8 lara_as_climbend
46E30 lara_col_climbend
46E38 GetClimbTrigger
46EE4 CheckForHoldingState
46F28 LaraGun
4772C InitialiseNewWeapon
4789C LaraTargetInfo
47B28 LaraGetNewTarget
48150 find_target_point
4826C AimWeapon
48328 FireWeapon
486E0 HitTarget
48898 WeaponObject
488F4 WeaponObjectMesh
48984 DoProperDetection
4965C get_current_ammo_pointer
49708 DoFlareLight
49984 DoFlareInHand
49A8C DrawFlareInAir
49BBC CreateFlare
49ED4 set_flare_arm
49F74 draw_flare
4A108 undraw_flare
4A394 draw_flare_meshes
4A3BC undraw_flare_meshes
4A3E4 ready_flare
4A418 FlareControl
4A684 LaraInitialiseMeshes
4A790 LaraCheat
4A838 LaraControl
4B308 InitialiseLaraLoad
4B340 InitialiseLaraAnims
4B3D8 DelAlignLaraToRope
4B408 GetLaraDeadlyBounds
4B4F8 LaraTestWaterDepth
4B608 LaraSwimCollision
4BAF4 SwimTurn
4BBDC SwimTurnSubsuit
4BD20 UpdateSubsuitAngles
4BFB4 LaraUnderWater
4C3A8 lara_as_swimcheat
4C548 lara_as_swim
4C634 lara_as_glide
4C730 lara_as_tread
4C854 lara_as_dive
4C884 lara_as_uwdeath
4C8F8 lara_as_waterroll
4C900 lara_col_swim
4C920 lara_col_glide
4C940 lara_col_tread
4C960 lara_col_dive
4C980 lara_col_uwdeath
4CA18 lara_col_waterroll
4CA38 GetWaterDepth
4CD34 LaraWaterCurrent
4D100 LaraTestWaterStepOut
4D22C LaraTestWaterClimbOut
4D4F0 LaraSurfaceCollision
4D684 LaraSurface
4D8E4 lara_as_surfswim
4D9A8 lara_as_surfback
4DA50 lara_as_surfleft
4DAF8 lara_as_surfright
4DBA0 lara_as_surftread
4DCE8 lara_col_surfswim
4DD38 lara_col_surfback
4DD64 lara_col_surfleft
4DD90 lara_col_surfright
4DDBC lara_col_surftread
4DE40 InitialiseLOTarray
4DEC0 DisableBaddieAI
4DF0C EnableBaddieAI
4E13C InitialiseSlot
4E330 CreateZone
4E4A0 ClearLOT
4E4E0 ExplodeFX
4E600 ControlBodyPart
4EAB4 EarthQuake
4EDB0 SmashObject
4EEF8 SmashObjectControl
4EF1C BridgeFlatFloor
4EF58 BridgeFlatCeiling
4EF80 GetOffset
4EFCC BridgeTilt1Floor
4F038 BridgeTilt1Ceiling
4F090 BridgeTilt2Floor
4F0FC BridgeTilt2Ceiling
4F154 ControlAnimatingSlots
4F69C PoleCollision
4F9A4 ControlTriggerTriggerer
4FABC AnimateWaterfalls
4FBC4 ControlWaterfall
4FC8C TightRopeCollision
4FEC4 ParallelBarsCollision
50114 ControlXRayMachine
50454 CutsceneRopeControl
50594 DrawBaddieGunFlash
50758 HybridCollision
507DC TargetVisible
508EC Targetable
50A34 GunShot
50A3C GunHit
50B58 GunMiss
50C74 ShotLara
51004 PuzzleDone
51200 FindPlinth
51450 AnimatingPickUp
515AC RegeneratePickups
516C8 PickUpCollision
52188 KeyHoleCollision
524C8 PuzzleDoneCollision
52520 PuzzleHoleCollision
52C14 KeyTrigger
52CC0 PickupTrigger
52D54 SearchObjectControl
53080 SearchObjectCollision
5339C CollectCarriedItems
53428 MonitorScreenCollision
536A0 WriteSG
536E0 ReadSG
53720 CheckSumValid
53738 SaveLaraData
538D0 RestoreLaraData
53AAC SaveLevelData
54B08 RestoreLevelData
55AF8 sgSaveGame
55B88 sgRestoreGame
55BE0 SayNo
55C3C TestCollision
55DE4 SwitchTrigger
55F4C GetSwitchTrigger
56080 GetKeyTrigger
561A8 TestTriggersAtXYZ
5623C SwitchControl
56470 SwitchCollision
568C0 SwitchCollision2
56A2C UnderwaterSwitchCollision
56C98 PulleyCollision
56E9C TurnSwitchControl
57210 TurnSwitchCollision
576F4 RailSwitchCollision
57980 JumpSwitchCollision
57ACC CrowbarSwitchCollision
57EB8 FullBlockSwitchControl
57FB8 FullBlockSwitchCollision
581D8 CogSwitchControl
58354 CogSwitchCollision
58674 CrowDoveSwitchControl
58740 CrowDoveSwitchCollision
58958 ProcessExplodingSwitchType8
58A1C OpenTrapDoor
58B68 CloseTrapDoor
58D08 TrapDoorControl
58E80 FloorTrapDoorCollision
5912C CeilingTrapDoorCollision
593F8 TrapDoorCollision
5947C FallingBlockCollision
59558 FallingBlock
59674 FallingBlockFloor
596D4 FallingBlockCeiling
59720 FallingCeiling
5988C DartEmitterControl
59AD4 DartsControl
59D18 FlameEmitterControl
5A1BC FlameEmitter2Control
5A38C FlameEmitter3Control
5AA6C FlameControl
5ACE4 LaraBurn
5AD78 LavaBurn
5AE08 ControlRollingBall
5B750 RollingBallCollision
5B854 DrawScaledSpike
5BA80 TwoBlockPlatformFloor
5BB08 TwoBlockPlatformCeiling
5BB80 OnTwoBlockPlatform
5BC7C ControlTwoBlockPlatform
5BE64 TestBoundsCollideTeethSpikes
5C000 ControlScaledSpike
5C56C ControlRaisingBlock
5C8BC ControlExplosion
5D018 TriggerAlertLight
5D118 ControlStrobeLight
5D254 ControlPulseLight
5D368 ControlColouredLight
5D3F8 ControlElectricalLight
5D660 ControlBlinker
5D74C phd_InitWindow
5D7FC CDDA_SetVolume
5D838 XAReplay
5D884 cbvsync
5DC10 S_CDPlay
5DCD0 S_CDStop
5DD14 S_CDPause
5DD40 S_CDRestart
5DD78 S_StartSyncedAudio
5DDC4 CDDA_SetMasterVolume
5DDE8 InitNewCDSystem
5DEB0 DEL_ChangeCDMode
5DF68 GPU_UseOrderingTables
5DFB0 GPU_UsePolygonBuffers
5DFDC GPU_EndScene
5E078 GPU_FlipNoIdle
5E1B4 do_gfx_debug_mode
5E448 GPU_FlipStory
5E528 FILE_Load
5E60C FILE_Length
5E6A8 FILE_Read
5E6D4 RelocateModule
5E79C init_game_malloc
5E7E8 game_malloc
5E85C game_free
5E894 show_game_malloc_totals
5E8E8 S_MemSet
5E964 S_LongMemCpy
5E9CC S_MemCpy
5E9F0 GetRandomControl
5EA18 GetRandomDraw
5EA40 SeedRandomControl
5EA48 SeedRandomDraw
5EA50 S_AnimateTextures
5ECB8 frig_with_monitor_screen
5ED6C TriggerActive
5EDF8 DrawF4
5EE78 DrawTPage
5EECC DrawLineH
5EF84 DrawLineV
5F040 PrintGauge
5F074 LOAD_VSyncHandler
5F0F0 GPU_BeginScene
5F134 draw_rotate_sprite
5F2C8 LOAD_DrawEnable
5F2D0 GPU_ClearVRAM
5F34C GPU_GetScreenPosition
5F360 GPU_SetScreenPosition
5F374 GPU_SyncBothScreens
5F3C8 GPU_FlipToBuffer
5F450 CreateMonoScreen
5F628 S_UpdateInput
600E4 ReloadAnims
60188 S_LoadLevelFile
602AC LOAD_Start
60434 LOAD_Stop
604A4 SetupPadVibration
604EC VibratePad
6068C S_control_screen_position
607A8 S_DumpScreen
607C8 S_ExitSystem
6080C DisplayConfig
60F34 DoPauseMenu
615CC gInit
61658 S_Death
61928 DisplayStatsUCunt
6194C ProfileCallBack
61978 ProfileInit
61A0C ProfileStartCount
61A48 ProfileReadCount
61A90 ProfileAddOT
61C94 ProfileRGB
61D1C ProfileAddDrawOT
61EE8 mcDir
6204C mcOpen
620AC mcClose
620CC mcGetStatus
622D8 mcFormat
62320 S_DrawDarts
62610 SPU_FreeSamples
62650 SPU_Init
626E4 DisplayFiles
6297C LoadGame
62E3C SaveGame
63718 Requester
63F04 DrawPhaseGame
643FC DrawRooms
64E78 SortOutWreckingBallDraw
64EF8 MGDrawSprite
65040 ResetCallback
65070 InterruptCallback
650A0 DMACallback
650D0 VSyncCallback
65104 VSyncCallbacks
65134 CheckCallback
65144 SetIntrMask
65688 PadInitDirect
65738 ResetGraph
6585C SetGraphDebug
65884 DrawSyncCallback
65898 SetDispMask
658FC DrawSync
6592C ClearImage
6597C LoadImage
659B4 StoreImage
659EC MoveImage
65A74 ClearOTagR
65AC8 PutDrawEnv
65B58 DrawOTagEnv
65BF8 PutDispEnv
66040 SetDrawEnv
66254 SetDrawEnv2
664E0 get_mode
66538 get_cs
665E8 get_ce
66698 get_ofs
666DC get_tw
66760 get_dx
6680C _status
66824 _otc
66908 _clr
66B2C _dws
66D5C _drs
66FC4 _ctl
66FE8 _getctl
67000 _cwb
67048 _cwc
67094 _param
670C4 _addque
670E8 _addque2
673C4 _exeque
67684 _reset
677D0 _sync
67920 set_alarm
6795C get_alarm
679DC _version
67AA8 memset
67AD4 InitGeom
67B5C MemCardInit
67B8C SpuSetTransferStartAddr
67BE4 CdInit
67D34 PadStartCom
67E00 SpuWrite
67E64 PadSetAct
67EA4 __SN_ENTRY_POINT
67F64 __main
67FBC SpuMalloc
6826C CdSetDebug
6828C SpuIsTransferCompleted
68340 SetSp
68350 SetDefDrawEnv
68408 SetDefDispEnv
68444 VSync
68654 sprintf
688CC itoab
68930 reverse
68978 strlen
689A0 atoi
689E4 itoa
68A54 printf
68A60 puts
68A6C strcat
68A78 strcpy
68A84 strncmp
68A90 strncpy
68A9C strcmp
68AA8 setjmp
68AB4 bzero
68AC0 PCopen
68AE0 PClseek
68B04 PCclose
68B14 SetGeomOffset
68B34 SetGeomScreen
68B44 CdSync
68B64 CdLastCom
68B74 SpuSetCommonAttr
68ED8 CdSearchFile
69848 CdControl
69984 CdControlF
69AB8 CdControlB
69C08 CdIntToPos
69D18 CdPosToInt
69D98 PadInfoMode
69E98 PadGetState
69F68 PadSetActAlign
6A0D8 SetRCnt
6A174 GetRCnt
6A1AC StartRCnt
6A1DC ResetRCnt
6A214 EnableEvent
6A224 OpenEvent
6A234 ExitCriticalSection
6A244 EnterCriticalSection
6A254 PushCallbackFunc
6A27C PullCallbackFunc
6A2A4 McrdGetGlobalStructure
6A2B0 MemCardStart
6A320 MemCardStop
6A360 MemCardExist
6A6E4 MemCardAccept
6A9F4 MemCardOpen
6AB7C MemCardClose
6ABC0 MemCardReadData
6AE28 MemCardWriteData
6B08C MemCardGetDirentry
6B2E8 MemCardCallback
6B2FC MemCardSync
6B418 MemCardCreateFile
6B514 MemCardFormat
6B6E4 SpuInitMalloc
6B738 SpuSetTransferMode
6B768 SpuSetReverbModeDepth
6B790 SpuSetCommonMasterVolume
6B7B0 SpuFree
6B82C SpuSetReverbVoice
6B850 SpuSetReverb
6B918 SpuInit
6B938 SpuSetReverbModeType
6BB00 PCread
6BBBC PCwrite
6BC78 PCcreat
6BC98 SpuSetVoicePitch
6BCCC SpuSetVoiceVolume
6BD0C SpuSetKey
6BEB4 SpuSetKeyOnWithAttr
6BEE8 SpuGetAllKeysStatus
6BF70 SpuGetKeyStatus
6C000 MemCardDeleteFile
6C310 HookEntryInt
6C320 startIntrVSync
6C440 startIntrDMA
6C6E8 _96_remove
6C700 ReturnFromException
6C710 ChangeClearPAD
6C720 ChangeClearRCnt
6C730 ResetEntryInt
6C740 _padIsVsync
6C7A8 _padIntPad
6C938 _padInitSioMode
6CD5C _padSioRW
6CF80 _padSioRW2
6D1FC _padClrIntSio0
6D28C _padWaitRXready
6D2B4 _padSetCmd
6D2C4 _padSendAtLoadInfo
6D348 _padRecvAtLoadInfo
6D5B8 _padGetActSize
6D5F0 _padLoadActInfo
6DB64 _padCmdParaMode
6DC0C _padSetRC2wait
6DC2C _padChkRC2wait
6E5B0 _padInitDirPort
6EEE0 _dirFailAuto
6EFF0 GPU_cw
6F000 GetVideoMode
6F01C _patch_gte
6F0FC InitCARD
6F18C StartCARD
6F1D4 _bu_init
6F1E4 _spu_init
